Isolate,Site,NaCl,pH,Halophily,Closest_Taxon,Genus,Phylum,Identity_Percent,Query_Coverage_Percent,Accession_Number,ASNase,GLNase,SDH,GO,ADI,MGL,Enzyme_Richness,Rare_Enzyme_Richness
VL 40,Valle de la Luna,10,7,HA,Bacillus spizizenii,Bacillus,Bacillota,99.24,100,NR_112686.1,1,0,0,0,1,1,3,1
VL 41,Valle de la Luna,10,7,HA,Bacillus spizizenii,Bacillus,Bacillota,99.65,100,NR_112686.1,1,0,0,1,1,0,3,1
VL 42,Valle de la Luna,15,7,HM,Bacillus halotolerans,Bacillus,Bacillota,99.73,100,NR_115063.1,1,0,0,0,1,0,2,0
ST 1,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.62,94,NR_043082.1,1,0,0,1,1,0,3,1
ST 2,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.48,94,NR_043082.1,1,1,0,0,1,0,3,0
ST 3,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.62,94,NR_043082.1,1,1,0,0,1,0,3,0
ST 4,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.62,95,NR_043082.1,1,0,0,0,1,0,2,0
ST 5,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.69,94,NR_043082.1,1,1,0,0,1,0,3,0
ST 6,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.48,94,NR_043082.1,1,0,0,1,1,0,3,1
ST 7,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.69,94,NR_043082.1,1,1,0,0,1,0,3,0
ST 8,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.55,94,NR_043082.1,1,1,0,0,1,0,3,0
ST 9,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.69,95,NR_043082.1,1,1,0,0,1,0,3,0
ST 10,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.48,94,NR_043082.1,1,1,0,0,1,0,3,0
ST 11,Salar de Tara,20,7,HE,Salibacterium salarium,Salibacterium,Bacillota,98.73,94,NR_043082.1,1,1,0,0,1,0,3,0
